iter	Passed	Remaining
0	37	75609
1	67	67433
2	95	63336
3	118	58940
4	141	56496
5	165	55099
6	193	55125
7	216	53950
8	239	52936
9	262	52293
10	282	51033
11	306	50782
12	328	50181
13	349	49607
14	372	49253
15	404	50118
16	431	50336
17	456	50303
18	477	49788
19	498	49384
20	520	49067
21	544	48926
22	563	48474
23	582	47937
24	604	47769
25	625	47476
26	646	47214
27	671	47268
28	701	47672
29	722	47425
30	745	47340
31	780	47994
32	801	47799
33	823	47591
34	842	47301
35	870	47489
36	896	47566
37	918	47408
38	938	47212
39	961	47131
40	989	47259
41	1010	47108
42	1032	46972
43	1059	47112
44	1082	47046
45	1103	46880
46	1124	46738
47	1152	46879
48	1176	46828
49	1200	46821
50	1221	46675
51	1240	46482
52	1263	46427
53	1285	46340
54	1306	46217
55	1331	46213
56	1354	46178
57	1380	46220
58	1401	46096
59	1423	46021
60	1445	45949
61	1465	45798
62	1488	45763
63	1514	45816
64	1535	45704
65	1561	45751
66	1581	45632
67	1601	45512
68	1624	45454
69	1648	45454
70	1680	45669
71	1707	45724
72	1738	45884
73	1759	45802
74	1780	45709
75	1800	45589
76	1820	45461
77	1839	45316
78	1860	45233
79	1881	45158
80	1901	45054
81	1927	45090
82	1950	45047
83	1976	45081
84	1999	45051
85	2018	44924
86	2039	44854
87	2065	44866
88	2084	44755
89	2125	45112
90	2145	45009
91	2167	44946
92	2186	44828
93	2211	44845
94	2231	44737
95	2249	44618
96	2269	44516
97	2288	44406
98	2308	44333
99	2327	44229
100	2346	44118
101	2365	44009
102	2390	44017
103	2412	43988
104	2432	43901
105	2455	43866
106	2473	43753
107	2491	43652
108	2512	43591
109	2546	43760
110	2566	43672
111	2587	43614
112	2607	43541
113	2624	43421
114	2644	43344
115	2672	43399
116	2697	43417
117	2728	43516
118	2749	43468
119	2779	43538
120	2796	43427
121	2814	43318
122	2844	43408
123	2872	43452
124	2889	43347
125	2906	43228
126	2925	43143
127	2944	43058
128	2967	43036
129	2986	42962
130	3004	42870
131	3018	42719
132	3036	42629
133	3053	42520
134	3070	42418
135	3087	42322
136	3111	42310
137	3131	42258
138	3154	42227
139	3171	42139
140	3185	42002
