iter	RMSE
0	226814.9693
1	216769.9706
2	207445.5546
3	198601.5084
4	190031.4656
5	181961.6101
6	174338.3595
7	167240.8329
8	160473.483
9	154014.9865
10	147950.2042
11	142136.6734
12	136685.4636
13	131522.5588
14	126881.4741
15	122345.8267
16	118093.121
17	114034.8643
18	110210.4691
19	106644.4966
20	103346.4316
21	100225.4219
22	97316.75327
23	94530.69336
24	91940.92799
25	89570.07321
26	87371.6472
27	85299.27031
28	83401.64881
29	81614.54052
30	79843.03916
31	78222.79882
32	76676.15713
33	75332.15328
34	73994.09228
35	72821.19754
36	71689.73105
37	70772.3808
38	69772.70173
39	68836.28042
40	67939.05843
41	67126.55543
42	66414.16904
43	65752.4625
44	65065.70025
45	64505.39595
46	63981.94746
47	63461.21096
48	62993.70763
49	62565.58543
50	62141.05394
51	61795.9041
52	61385.6572
53	61018.21873
54	60678.88219
55	60422.42043
56	60137.10561
57	59834.6142
58	59581.44619
59	59276.59064
60	59034.55721
61	58847.47532
62	58600.09915
63	58362.89589
64	58131.48143
65	57930.8793
66	57798.60447
67	57664.77634
68	57493.55957
69	57353.56148
70	57243.72156
71	57090.73519
72	56976.69688
73	56896.87999
74	56805.30098
75	56645.95174
76	56488.77512
77	56350.31509
78	56268.23288
79	56150.81089
80	56016.16353
81	55893.76714
82	55826.78121
83	55766.63573
84	55693.87888
85	55545.23551
86	55389.03978
87	55316.56977
88	55253.79453
89	55137.06839
90	55046.72906
91	55002.38697
92	54888.04172
93	54849.40091
94	54816.49644
95	54757.01272
96	54687.44134
97	54654.28831
98	54607.4414
99	54494.55725
100	54465.04995
101	54431.66522
102	54400.43124
103	54370.28013
104	54236.10652
105	54202.82388
106	54122.84093
107	54069.5971
108	54043.36531
109	53899.37472
110	53837.49772
111	53810.33261
112	53808.85156
113	53757.65044
114	53723.835
115	53702.47188
116	53656.12242
117	53624.96665
118	53609.24427
119	53586.57343
120	53476.44459
121	53458.17217
122	53442.29081
123	53396.26553
124	53371.3507
125	53344.60294
126	53323.57616
127	53301.09357
128	53217.30633
129	53207.19848
130	53148.11805
131	53039.04834
132	53032.64855
133	53009.6263
134	52994.14076
135	52989.00587
136	52988.35274
137	52944.20877
138	52857.92768
139	52837.55452
140	52812.89314
141	52783.12247
142	52771.74017
143	52700.43968
144	52689.80784
145	52647.22284
146	52646.72528
147	52620.43584
148	52620.37852
149	52538.09531
150	52533.13645
151	52521.99015
152	52489.48978
153	52489.46861
154	52404.58972
155	52390.04957
156	52389.92836
157	52361.33312
158	52256.30245
159	52255.7465
160	52181.59921
161	52166.1722
162	52134.31482
163	52043.65911
164	52043.54015
165	52040.67877
166	52023.75744
167	52023.67199
168	51966.28877
169	51934.70312
170	51934.67561
171	51923.98175
172	51897.50974
173	51826.32675
174	51826.03881
175	51825.97142
176	51812.89897
177	51812.89284
178	51744.87327
179	51726.4526
180	51709.51134
181	51683.16906
182	51682.90489
183	51682.88646
184	51601.45884
185	51554.17971
186	51554.17663
187	51484.51557
188	51430.66256
189	51389.75115
190	51389.71408
191	51352.37948
192	51315.41216
193	51299.32855
194	51299.31462
195	51299.08716
196	51282.58051
197	51282.36072
198	51282.14402
199	51218.90756
200	51186.60796
201	51186.57229
202	51186.36449
203	51186.36449
204	51167.00432
205	51155.70001
206	51155.49673
207	51155.49053
208	51155.49053
209	51155.48742
210	51155.45794
211	51155.45794
212	51155.45794
213	51155.25777
214	51155.05916
215	51154.86985
216	51154.68519
217	51154.50209
218	51154.47726
219	51136.10936
220	51135.93395
221	51135.7337
222	51135.71042
223	51135.54277
224	51135.52414
225	51072.26157
226	51050.81352
227	51050.65026
228	51050.65337
229	50995.28374
230	50939.89133
231	50939.69344
232	50902.34532
233	50902.30166
234	50844.52868
235	50835.38247
236	50835.19353
237	50782.0728
238	50714.95114
239	50714.80558
240	50652.52824
241	50607.60942
242	50546.2192
243	50546.21135
244	50476.67675
245	50476.66417
246	50430.24452
247	50430.10758
248	50406.77695
249	50388.63428
250	50350.0939
251	50317.95752
252	50317.93859
253	50295.34504
254	50295.32294
255	50295.17932
256	50236.0698
257	50194.91376
258	50194.75404
259	50181.51132
260	50125.09136
261	50124.93459
262	50124.78573
263	50124.66854
264	50124.52127
265	50124.49751
266	50066.42472
267	50009.50669
268	50004.60662
269	49991.63109
270	49991.49136
271	49991.35322
272	49935.22232
273	49935.07608
274	49934.94255
275	49919.55109
276	49919.45092
277	49872.68931
278	49825.50466
279	49805.29994
280	49785.36445
281	49785.24328
282	49743.67115
283	49731.57565
284	49702.01155
285	49659.21889
286	49614.54628
287	49592.57023
288	49576.50569
289	49523.43732
290	49478.51538
291	49446.86081
292	49446.72757
293	49428.5264
294	49405.81692
295	49405.68518
296	49386.11075
297	49359.21519
298	49334.03466
299	49314.74244
300	49290.36372
301	49266.90581
302	49219.33556
303	49210.80671
304	49200.82763
305	49180.04832
306	49151.56558
307	49122.83849
308	49095.2975
309	49072.49042
310	49027.95511
311	49018.42784
312	48979.8708
313	48979.08317
314	48948.10782
315	48942.15919
316	48896.13342
317	48877.9286
318	48866.13211
319	48840.27317
320	48829.4901
321	48829.40719
322	48829.32591
323	48797.72683
324	48797.66827
325	48797.60971
326	48768.46416
327	48743.79268
328	48741.04864
329	48740.9949
330	48709.60741
331	48686.32619
332	48686.27239
333	48686.22021
334	48686.1713
335	48686.17293
336	48686.04413
337	48685.99359
338	48658.27875
339	48647.4276
340	48622.59839
341	48586.23834
342	48586.19096
343	48547.03392
344	48546.98814
345	48546.94399
346	48546.89821
347	48546.8557
348	48546.81482
349	48536.84968
350	48530.30925
351	48530.27
352	48530.22747
353	48501.68553
354	48501.64298
355	48480.49195
356	48480.43137
357	48480.39372
358	48480.35115
359	48480.34951
360	48469.10315
361	48469.06712
362	48469.02781
363	48468.99178
364	48468.95575
365	48468.92136
366	48468.83129
367	48468.80017
368	48455.03333
369	48455.00385
370	48426.43888
371	48426.41266
372	48426.38643
373	48392.45754
374	48381.11363
375	48381.08738
376	48381.06113
377	48381.03488
378	48381.01027
379	48380.9873
380	48380.96269
381	48380.93972
382	48380.91511
383	48380.8905
384	48363.35669
385	48363.33535
386	48353.26837
387	48353.24539
388	48353.22569
389	48353.20435
390	48353.18465
391	48341.67718
392	48341.65584
393	48320.15059
394	48298.41882
395	48298.40239
396	48298.37938
397	48278.22446
398	48260.93295
399	48260.88361
400	48260.86552
401	48248.68126
402	48219.97596
403	48216.54032
404	48207.64799
405	48205.55021
406	48191.78394
407	48129.86037
408	48112.11793
409	48112.10143
410	48112.08824
411	48069.7379
412	48055.93602
413	48003.78937
414	47996.6934
415	47978.75778
416	47978.74951
417	47978.74123
418	47955.56535
419	47921.74537
420	47921.71556
421	47899.23462
422	47899.01753
423	47866.91376
424	47852.37494
425	47842.11418
426	47817.73499
427	47817.71507
428	47783.16461
429	47752.47071
430	47713.33318
431	47678.62717
432	47646.17166
433	47631.51047
434	47617.74493
435	47617.7416
436	47610.2413
437	47583.67318
438	47539.75847
439	47515.36281
440	47497.70167
441	47488.28528
442	47486.5569
443	47473.8044
444	47470.31141
445	47465.53384
446	47449.77799
447	47436.73616
448	47398.60566
449	47393.76057
450	47389.54813
451	47377.6575
452	47377.65582
453	47377.63237
454	47371.94062
455	47356.89618
456	47356.88109
457	47356.88109
458	47350.35202
459	47338.252
460	47328.44162
461	47309.25772
462	47309.25604
463	47309.25101
464	47309.25101
465	47300.75533
466	47300.73016
467	47280.97595
468	47280.97428
469	47280.97428
470	47280.95581
471	47249.92391
472	47210.07048
473	47190.70389
474	47190.70221
475	47164.2495
476	47141.80808
477	47129.97284
478	47120.42401
479	47120.32799
480	47100.05321
481	47080.92798
482	47080.92123
483	47080.91786
484	47080.9128
485	47080.90775
486	47079.72417
487	47079.71911
488	47079.71574
489	47075.02331
490	47052.08553
491	47040.23784
492	47030.28091
493	47025.47045
494	47014.36232
495	47013.27162
496	46975.56117
497	46957.1155
498	46957.11212
499	46930.82881
500	46930.82881
501	46911.04913
502	46874.44184
503	46872.98549
504	46872.9804
505	46861.20092
506	46858.47199
507	46831.18415
508	46826.438
509	46805.79849
510	46794.73829
511	46794.18699
512	46771.92611
513	46751.46798
514	46751.46628
515	46751.46289
516	46737.4959
517	46736.99148
518	46732.94406
519	46724.93479
520	46705.57438
521	46705.55568
522	46705.50809
523	46705.24976
524	46705.24806
525	46677.93867
526	46657.03442
527	46655.86051
528	46655.86391
529	46645.27868
530	46621.05174
531	46613.91556
532	46608.11352
533	46608.11352
534	46587.11319
535	46572.3896
536	46572.00952
537	46534.72784
538	46525.88942
539	46510.9536
540	46498.82634
541	46493.35481
542	46493.33603
543	46493.33603
544	46469.08112
545	46451.1435
546	46434.48448
547	46421.16937
548	46410.62981
549	46403.43561
550	46390.24163
551	46382.94501
552	46378.32414
553	46366.44124
554	46363.63183
555	46363.45035
556	46343.03285
557	46320.70424
558	46316.09772
559	46316.09944
560	46310.71945
561	46289.77454
562	46286.39284
563	46286.38941
564	46277.86548
565	46277.86205
566	46269.51667
567	46252.35461
568	46252.35633
569	46229.44306
570	46229.21984
571	46200.48998
572	46194.8783
573	46194.7374
574	46178.56
575	46154.67281
576	46138.00996
577	46125.7554
578	46125.72958
579	46125.72614
580	46108.06812
581	46094.32637
582	46088.74826
583	46066.88225
584	46060.6339
585	46060.46674
586	46060.34093
587	46060.05313
588	46060.05141
589	46051.39767
590	46051.1305
591	46050.89781
592	46050.89091
593	46050.88919
594	46040.59761
595	46040.59416
596	46022.28257
597	46022.236
598	46022.12389
599	46014.06852
600	45983.99937
601	45983.99074
602	45978.39925
603	45957.61033
604	45952.25919
605	45933.16066
606	45915.55478
607	45908.46109
608	45892.31942
609	45892.2831
610	45882.21718
611	45868.1101
612	45856.24559
613	45842.43528
614	45841.52448
615	45841.52102
616	45840.55999
617	45821.78389
618	45818.92896
619	45818.92723
620	45818.92549
621	45815.12095
622	45815.11922
623	45815.11575
624	45815.11055
625	45814.98234
626	45814.98408
627	45805.0762
628	45796.59614
629	45796.59614
630	45788.02956
631	45788.0261
632	45784.01267
633	45777.33209
634	45773.63161
635	45754.20349
636	45754.20349
637	45754.19655
638	45743.43217
639	45743.43044
640	45743.42697
641	45743.4287
642	45743.4235
643	45743.42003
644	45743.42003
645	45743.42003
646	45743.41656
647	45743.41309
648	45743.41135
649	45743.40961
650	45742.97926
651	45732.82494
652	45732.82321
653	45723.47389
654	45723.47215
655	45716.70286
656	45704.01577
657	45703.81604
658	45699.8178
659	45699.81606
660	45699.81432
661	45699.81259
662	45699.81085
663	45692.25979
664	45692.25979
665	45692.25805
666	45692.25631
667	45692.25284
668	45692.25284
669	45692.2511
670	45692.2511
671	45692.24936
672	45692.24763
673	45692.24589
674	45692.24415
675	45692.24241
676	45692.24241
677	45692.24068
678	45689.62782
679	45689.62435
680	45689.62261
681	45689.07535
682	45688.90336
683	45688.90336
684	45688.90336
685	45688.89988
686	45688.89988
687	45688.89814
688	45688.87035
689	45688.87035
690	45688.86687
691	45688.86513
692	45688.86513
693	45674.28994
694	45674.28994
695	45664.69745
696	45654.58309
697	45654.57961
698	45654.33968
699	45637.6333
700	45635.99138
701	45622.46758
702	45622.46758
703	45620.50322
704	45620.49974
705	45609.07901
706	45590.57495
707	45590.38168
708	45588.18262
709	45588.18262
710	45588.18262
711	45588.09382
712	45564.39357
713	45545.76156
714	45545.76156
715	45545.6657
716	45536.09144
717	45536.0897
718	45518.98767
719	45504.72438
720	45504.72438
721	45497.9522
722	45480.55484
723	45480.55309
724	45480.53738
725	45471.30203
726	45447.13742
727	45446.98023
728	45446.77762
729	45445.06767
730	45445.01003
731	45445.00828
732	45445.00653
733	45431.61808
734	45431.61808
735	45431.53072
736	45431.52723
737	45431.52897
738	45430.15042
739	45430.15042
740	45429.43579
741	45429.43405
742	45429.43579
743	45429.4323
744	45429.43405
745	45429.4323
746	45429.4288
747	45428.21444
748	45428.21444
749	45428.21444
750	45428.15677
751	45414.18307
752	45414.16384
753	45413.71639
754	45413.71464
755	45402.4954
756	45402.4954
757	45373.98207
758	45364.07061
759	45364.05837
760	45361.92883
761	45347.66165
762	45343.56198
763	45336.62216
764	45336.62041
765	45326.12287
766	45314.82239
767	45314.82239
768	45314.82239
769	45314.82414
770	45313.4105
771	45310.78281
772	45307.21942
773	45289.78384
774	45289.78209
775	45281.46672
776	45281.46322
777	45281.34577
778	45281.33876
779	45268.36482
780	45259.30365
781	45254.0471
782	45254.02956
783	45240.32491
784	45240.30912
785	45235.07141
786	45235.05913
787	45235.05913
788	45206.83527
789	45205.43581
790	45205.43406
791	45205.42352
792	45205.42177
793	45205.42001
794	45205.41123
795	45205.41299
796	45186.19378
797	45186.19027
798	45186.18851
799	45186.185
800	45172.86744
801	45172.86217
802	45172.85338
803	45172.74444
804	45159.47916
805	45144.19325
806	45126.37631
807	45115.08561
808	45115.08033
809	45104.15815
810	45088.90454
811	45081.55752
812	45071.32463
813	45064.37458
814	45064.35873
815	45050.03432
816	45023.07847
817	45012.10221
818	45007.28416
819	44995.22971
820	44983.3979
821	44968.2057
822	44960.61651
823	44943.06766
824	44943.0553
825	44943.04647
826	44933.54166
827	44933.53106
828	44933.52046
829	44933.3544
830	44918.25838
831	44918.23541
832	44911.99162
833	44898.85438
834	44873.43161
835	44865.40001
836	44865.39293
837	44852.59776
838	44852.59599
839	44852.59422
840	44852.58714
841	44852.58007
842	44842.21527
843	44826.96106
844	44824.96361
845	44824.93704
846	44824.9335
847	44824.91402
848	44817.83013
849	44817.82836
850	44808.80363
851	44791.00745
852	44768.25405
853	44768.24873
854	44768.24164
855	44768.23632
856	44756.834
857	44756.83045
858	44756.8269
859	44756.82336
860	44756.81626
861	44755.92417
862	44755.92062
863	44755.9153
864	44755.91353
865	44755.90821
866	44755.90466
867	44755.90111
868	44755.89934
869	44755.89579
870	44755.42757
871	44755.42402
872	44755.42048
873	44747.76681
874	44727.67836
875	44727.67836
876	44727.67127
877	44713.62777
878	44713.62244
879	44713.61712
880	44713.61357
881	44713.61179
882	44713.61179
883	44713.61002
884	44713.61179
885	44713.60647
886	44710.73581
887	44710.73226
888	44710.73226
889	44696.76691
890	44696.76868
891	44696.76335
892	44696.75625
893	44696.75092
894	44696.7456
895	44696.7456
896	44696.73849
897	44696.74027
898	44696.74027
899	44687.44951
900	44687.44418
901	44687.44241
902	44687.43885
903	44687.43708
904	44687.42997
905	44687.4282
906	44687.42642
907	44687.42464
908	44687.42464
909	44687.42287
910	44683.04767
911	44683.04412
912	44683.04056
913	44683.03701
914	44683.03524
915	44683.03524
916	44683.03346
917	44683.03346
918	44683.03524
919	44683.03346
920	44683.03168
921	44683.03346
922	44681.93382
923	44681.92849
924	44681.93204
925	44681.93204
926	44681.93027
927	44681.92849
928	44656.4551
929	44643.80097
930	44630.11525
931	44618.11724
932	44602.17419
933	44602.17063
934	44602.17063
935	44602.17063
936	44602.16707
937	44602.16707
938	44602.16529
939	44602.16707
940	44602.16351
941	44602.16351
942	44602.16173
943	44602.15817
944	44602.15461
945	44602.15639
946	44602.15283
947	44602.15283
948	44602.15105
949	44602.14927
950	44602.14749
951	44602.14571
952	44602.14215
953	44602.14393
954	44602.14393
955	44602.14215
956	44602.13859
957	44602.13859
958	44602.13681
959	44602.13503
960	44602.13681
961	44602.13681
962	44602.13503
963	44602.13147
964	44602.13147
965	44602.12969
966	44602.12791
967	44602.12613
968	44602.12435
969	44602.12969
970	44602.12613
971	44602.12435
972	44602.12613
973	44602.12435
