iter	RMSE
0	111184.9366
1	107243.6852
2	103652.5207
3	100108.4801
4	96903.33369
5	93949.44831
6	91212.42831
7	88683.77499
8	86395.8495
9	84345.209
10	82340.34818
11	80610.49064
12	78973.26611
13	77406.67927
14	76003.5124
15	74812.02062
16	73489.60107
17	72387.66751
18	71271.34993
19	70273.65216
20	69332.37248
21	68506.98953
22	67665.29483
23	66941.56869
24	66300.50799
25	65622.52981
26	64987.03019
27	64377.26159
28	63871.06693
29	63351.85944
30	62911.12883
31	62408.29706
32	62001.95849
33	61602.48395
34	61287.97219
35	60943.14609
36	60587.08316
37	60333.47118
38	60057.41078
39	59758.74811
40	59338.37158
41	59052.34755
42	58823.16112
43	58563.07361
44	58368.46753
45	58120.99639
46	57885.02412
47	57624.19145
48	57428.49777
49	57249.05144
50	57067.83646
51	56810.69195
52	56592.55638
53	56414.2646
54	56195.07077
55	56087.50377
56	55873.66178
57	55700.85964
58	55549.49727
59	55389.26158
60	55278.65656
61	55196.81197
62	55076.34656
63	55005.53415
64	54927.26712
65	54833.1317
66	54716.60239
67	54641.43162
68	54493.3086
69	54430.94123
70	54360.62796
71	54266.22222
72	54199.25114
73	54091.65127
74	54034.52383
75	53831.18278
76	53707.2287
77	53610.90227
78	53542.32228
79	53444.93181
80	53391.56789
81	53278.54518
82	53207.68754
83	53129.22073
84	53049.08068
85	52877.54707
86	52814.14194
87	52767.12564
88	52641.6975
89	52558.99043
90	52466.28829
91	52413.42347
92	52343.74398
93	52270.92432
94	52181.47432
95	52148.87875
96	52102.2561
97	52044.4322
98	52000.76994
99	51950.84923
100	51883.149
101	51756.66164
102	51716.85327
103	51663.19994
104	51610.28587
105	51571.9867
106	51503.90519
107	51417.67868
108	51335.20903
109	51243.82448
110	51212.37808
111	51156.70725
112	51103.14963
113	51049.42468
114	51015.60738
115	50981.17352
116	50912.05169
117	50837.14909
118	50796.18476
119	50712.35364
120	50676.24341
121	50621.37933
122	50552.33146
123	50517.24904
124	50488.43661
125	50463.09639
126	50408.67234
127	50361.73972
128	50300.51767
129	50269.80426
130	50240.00844
131	50204.41983
132	50162.29682
133	50135.41152
134	50109.73602
135	50086.58892
136	50018.91831
137	49956.79312
138	49912.486
139	49873.93194
140	49810.30246
141	49769.01603
142	49729.07265
143	49675.74342
144	49628.14557
145	49612.25191
146	49588.58192
147	49564.25704
148	49532.02376
149	49446.77714
150	49406.50302
151	49365.86406
152	49324.58026
153	49277.09022
154	49254.98666
155	49211.64334
156	49164.69739
157	49150.91529
158	49110.87389
159	49081.82559
160	49060.11937
161	49035.45188
162	48981.67948
163	48938.23897
164	48908.33035
165	48871.83391
166	48847.13411
167	48760.60641
168	48735.78273
169	48705.83505
170	48678.56556
171	48646.26452
172	48612.1711
173	48589.22619
174	48542.22431
175	48504.50958
176	48486.63433
177	48467.09363
178	48418.42053
179	48397.92375
180	48353.4856
181	48273.21262
182	48205.97446
183	48150.59608
184	48125.42042
185	48099.93145
186	48072.25393
187	48028.02728
188	47995.1818
189	47942.3309
190	47907.28751
191	47884.00449
192	47869.31008
193	47840.06696
194	47796.04253
195	47745.93635
196	47703.98647
197	47669.74861
198	47601.79372
199	47575.10478
200	47522.06117
201	47499.29588
202	47487.41183
203	47455.65245
204	47427.20361
205	47404.25108
206	47383.79952
207	47355.36572
208	47312.94884
209	47286.51929
210	47231.83943
211	47206.75343
212	47188.18032
213	47142.1225
214	47113.16707
215	47082.24169
216	47054.00315
217	47019.73144
218	46992.16374
219	46955.66347
220	46894.15986
221	46872.26098
222	46844.1701
223	46818.4776
224	46797.83378
225	46772.32836
226	46716.84531
227	46682.76447
228	46655.51425
229	46632.539
230	46594.50589
231	46573.05411
232	46550.92153
233	46510.98404
234	46485.384
235	46463.56101
236	46445.47826
237	46407.44964
238	46368.24366
239	46323.60083
240	46304.90548
241	46288.85568
242	46252.28096
243	46233.21274
244	46205.47416
245	46190.91719
246	46147.90509
247	46081.3387
248	46044.09308
249	46021.37495
250	46007.47976
251	45980.87075
252	45946.35451
253	45903.39477
254	45881.09209
255	45849.54222
256	45826.98926
257	45805.63427
258	45777.50359
259	45749.2939
260	45724.54597
261	45694.06246
262	45664.45377
263	45647.26926
264	45639.50626
265	45620.12736
266	45589.66173
267	45566.51556
268	45526.40915
269	45498.38066
270	45472.11729
271	45441.9149
272	45415.98119
273	45395.33898
274	45365.15903
275	45324.84145
276	45287.0909
277	45267.18252
278	45250.90627
279	45228.22411
280	45187.57004
281	45162.92025
282	45145.23513
283	45125.83903
284	45092.44223
285	45057.58221
286	45011.32703
287	44984.72048
288	44959.69061
289	44939.2784
290	44920.40354
291	44891.73804
292	44867.71368
293	44849.14445
294	44828.41563
295	44797.18697
296	44760.8502
297	44723.32295
298	44708.12813
299	44672.94975
300	44642.71178
301	44610.41998
302	44583.55738
303	44552.6583
304	44534.73464
305	44501.70159
306	44483.89511
307	44460.378
308	44430.86485
309	44413.13221
310	44400.22942
311	44374.82424
312	44352.94148
313	44330.2801
314	44310.2226
315	44278.80871
316	44249.18249
317	44215.54105
318	44194.38476
319	44156.0862
320	44128.7774
321	44088.50374
322	44063.08101
323	44040.248
324	44005.36487
325	43972.74919
326	43948.70924
327	43925.0928
328	43898.24424
329	43864.0186
330	43847.22588
331	43819.00763
332	43797.41164
333	43766.50527
334	43755.96266
335	43730.67448
336	43714.71133
337	43690.48208
338	43657.74752
339	43637.41692
340	43612.80757
341	43591.27385
342	43570.82901
343	43553.84519
344	43524.45409
345	43499.19909
346	43479.28172
347	43461.2481
348	43444.64272
349	43430.46703
350	43416.03358
351	43398.5563
352	43378.06909
353	43362.61058
354	43347.00903
355	43328.44725
356	43310.57705
357	43290.13366
358	43256.17971
359	43242.68905
360	43230.44178
361	43214.15756
362	43191.03532
363	43167.25832
364	43152.53876
365	43140.33552
366	43107.78201
367	43092.27794
368	43065.73271
369	43043.91076
370	43017.50984
371	43002.44021
372	42988.47529
373	42962.95016
374	42931.58618
375	42913.92576
376	42883.69705
377	42865.74585
378	42833.2733
379	42809.58762
380	42795.17998
381	42771.4951
382	42754.82516
383	42728.9857
384	42709.65316
385	42684.9421
386	42672.99041
387	42654.65833
388	42643.30387
389	42622.38904
390	42588.75842
391	42573.43974
392	42545.92663
393	42534.43769
394	42518.58295
395	42492.25555
396	42464.45129
397	42440.25734
398	42431.102
399	42416.73713
400	42397.13915
401	42369.52326
402	42357.2654
403	42329.46664
404	42311.39209
405	42291.43231
406	42263.77711
407	42240.41534
408	42211.21876
409	42178.60793
410	42156.79826
411	42136.92446
412	42122.92466
413	42107.9388
414	42090.93131
415	42071.02211
416	42045.56222
417	42032.06255
418	42021.4283
419	42008.06665
420	41986.87556
421	41962.87824
422	41944.84699
423	41932.77276
424	41913.35115
425	41888.75171
426	41869.15188
427	41842.78116
428	41816.25613
429	41799.28334
430	41772.49096
431	41756.52604
432	41728.36899
433	41713.47393
434	41691.32125
435	41668.42787
436	41653.06458
437	41626.32259
438	41608.24063
439	41587.80093
440	41569.39573
441	41550.27786
442	41536.27214
443	41515.00274
444	41496.21915
445	41481.27777
446	41463.29345
447	41451.88155
448	41427.46453
449	41413.9577
450	41403.69644
451	41390.12609
452	41371.1723
453	41357.99016
454	41343.04428
455	41332.68669
456	41317.0064
457	41304.96258
458	41296.71188
459	41284.38618
460	41269.72979
461	41255.68014
462	41242.2228
463	41218.06413
464	41200.47334
465	41184.20353
466	41161.82984
467	41148.54308
468	41130.4979
469	41112.86821
470	41090.95121
471	41069.81301
472	41052.01682
473	41036.71778
474	41018.89889
475	41010.17144
476	40983.64359
477	40970.57946
478	40947.26203
479	40923.90311
480	40901.60332
481	40886.97689
482	40877.35217
483	40864.72574
484	40848.48023
485	40831.935
486	40817.31103
487	40797.47287
488	40781.6716
489	40769.45036
490	40752.9224
491	40727.82904
492	40706.83868
493	40684.17364
494	40676.59036
495	40669.28268
496	40662.69665
497	40645.26301
498	40633.28593
499	40618.90575
500	40601.17464
501	40590.50286
502	40567.22992
503	40546.74268
504	40530.77579
505	40512.70049
506	40498.19006
507	40485.74531
508	40464.49738
509	40454.29131
510	40436.24602
511	40429.04532
512	40407.25252
513	40391.01004
514	40371.06865
515	40349.509
516	40339.49233
517	40321.7936
518	40308.97134
519	40288.14759
520	40277.40853
521	40257.78433
522	40246.19435
523	40231.70455
524	40220.93776
525	40208.89084
526	40193.4965
527	40181.43104
528	40165.42232
529	40153.78488
530	40141.63895
531	40130.53907
532	40122.17518
533	40108.91568
534	40094.62957
535	40086.3821
536	40073.15314
537	40057.22091
538	40048.70845
539	40032.29105
540	40021.10903
541	40001.86147
542	39991.65434
543	39981.52757
544	39961.34574
545	39948.37852
546	39924.03684
547	39913.9146
548	39895.03053
549	39884.0055
550	39872.93294
551	39857.76242
552	39839.25199
553	39830.0484
554	39818.3235
555	39805.18469
556	39790.20526
557	39780.05362
558	39763.03229
559	39752.119
560	39727.15582
561	39701.41937
562	39688.34866
563	39675.89332
564	39660.28607
565	39652.79043
566	39637.54517
567	39620.15803
568	39603.97045
569	39588.83872
570	39572.98026
571	39561.11717
572	39551.10394
573	39535.04471
574	39508.34575
575	39498.54776
576	39484.27501
577	39466.46851
578	39452.8446
579	39442.14927
580	39425.87997
581	39409.03778
582	39395.57267
583	39386.64043
584	39377.69884
585	39365.13435
586	39350.00484
587	39335.56601
588	39326.06507
589	39309.37443
590	39300.37468
591	39289.91327
592	39274.51796
593	39259.23185
594	39240.65504
595	39227.685
596	39216.18073
597	39209.28797
598	39195.9879
599	39177.74446
600	39161.67452
601	39148.73649
602	39129.61283
603	39115.51894
604	39102.83213
605	39096.88818
606	39087.6507
607	39072.80587
608	39061.74404
609	39039.8476
610	39024.57952
611	39008.54839
612	38998.50838
613	38986.28597
614	38975.15401
615	38961.54003
616	38953.40364
617	38930.82061
618	38910.32523
619	38898.18937
620	38887.24881
621	38872.70584
622	38850.79498
623	38841.37852
624	38821.95916
625	38806.04829
626	38799.4571
627	38788.62341
628	38774.1564
629	38755.87779
630	38743.18055
631	38729.36173
632	38712.41363
633	38694.8103
634	38686.76546
635	38677.20933
636	38664.66432
637	38650.50555
638	38631.14267
639	38611.76618
640	38599.72089
641	38590.45933
642	38576.38749
643	38562.40575
644	38549.58187
645	38531.75656
646	38512.87991
647	38507.07674
648	38497.699
649	38484.94963
650	38472.034
651	38445.66743
652	38439.06589
653	38429.45801
654	38418.70022
655	38401.44943
656	38389.93712
657	38374.56928
658	38363.38846
659	38355.13786
660	38345.19261
661	38332.35381
662	38321.47992
663	38314.08789
664	38287.04377
665	38277.93521
666	38265.78829
667	38257.86262
668	38242.53122
669	38231.01634
670	38220.38836
671	38202.03552
672	38186.91411
673	38178.30102
674	38162.78008
675	38151.56501
676	38141.72624
677	38122.84457
678	38106.12243
679	38095.73013
680	38082.50086
681	38068.82408
682	38050.26713
683	38042.29945
684	38033.80911
685	38020.39628
686	38010.09498
687	38000.95783
688	37991.31469
689	37977.45019
690	37960.93897
691	37950.45863
692	37942.41635
693	37932.44383
694	37926.10116
695	37919.42434
696	37908.52392
697	37896.47086
698	37886.85769
699	37872.16648
700	37862.66162
701	37853.8398
702	37842.76923
703	37831.18459
704	37819.91208
705	37807.70552
706	37798.81674
707	37788.28134
708	37782.16966
709	37767.81941
710	37754.02075
711	37746.43393
712	37732.83711
713	37721.60535
714	37713.48373
715	37703.00493
716	37678.86697
717	37658.4071
718	37647.88942
719	37639.37652
720	37625.99365
721	37613.33731
722	37605.51602
723	37596.38163
724	37580.23749
725	37564.95407
726	37555.23307
727	37542.33024
728	37535.25403
729	37523.89023
730	37518.13478
731	37511.81308
732	37499.96944
733	37491.54906
734	37471.09743
735	37462.01784
736	37451.98529
737	37443.43476
738	37426.13491
739	37417.72628
740	37400.89847
741	37387.71815
742	37380.54294
743	37365.10617
744	37356.46038
745	37341.21911
746	37330.31523
747	37324.25174
748	37315.04482
749	37305.15988
750	37296.17251
751	37288.06455
752	37279.53354
753	37267.05377
754	37255.39547
755	37244.70871
756	37236.32036
757	37213.19305
758	37207.73669
759	37202.30145
760	37189.64308
761	37176.70227
762	37163.40469
763	37155.28954
764	37141.40983
765	37127.26542
766	37107.41453
767	37098.38402
768	37086.24266
769	37077.58501
770	37071.37008
771	37052.36133
772	37044.44353
773	37036.62693
774	37026.76516
775	37013.25367
776	37001.153
777	36992.49846
778	36985.54124
779	36966.42588
780	36956.23813
781	36945.15789
782	36932.17585
783	36922.29809
784	36912.37059
785	36907.92742
786	36894.25102
787	36881.85227
788	36870.74415
789	36852.25905
790	36835.76725
791	36823.63863
792	36813.15899
793	36804.94685
794	36793.16445
795	36781.53879
796	36772.384
797	36765.04251
798	36753.62811
799	36743.34391
800	36733.26735
801	36724.23838
802	36715.52754
803	36706.61136
