iter	Passed	Remaining
0	3	3680
1	7	3648
2	10	3652
3	13	3434
4	16	3317
5	20	3323
6	23	3351
7	26	3324
8	29	3283
9	33	3307
10	36	3322
11	40	3370
12	43	3335
13	47	3322
14	50	3290
15	53	3262
16	56	3266
17	59	3247
18	62	3231
19	65	3209
20	68	3213
21	72	3230
22	75	3226
23	79	3234
24	82	3220
25	86	3228
26	89	3231
27	92	3223
28	96	3216
29	99	3209
30	103	3221
31	106	3218
32	109	3222
33	112	3210
34	116	3204
35	119	3201
36	122	3194
37	126	3202
38	129	3196
39	132	3190
40	136	3204
41	140	3214
42	144	3218
43	147	3209
44	151	3210
45	155	3220
46	158	3216
47	161	3207
48	164	3195
49	168	3204
50	171	3194
51	174	3185
52	177	3173
53	180	3164
54	184	3170
55	187	3167
56	191	3171
57	194	3162
58	197	3157
59	201	3154
60	204	3150
61	207	3141
62	210	3132
63	213	3126
64	217	3134
65	221	3136
66	225	3133
67	227	3122
68	231	3125
69	234	3121
70	237	3112
71	240	3104
72	243	3095
73	247	3100
74	251	3097
75	254	3091
76	257	3085
77	260	3081
78	264	3082
79	267	3076
80	270	3068
81	273	3062
82	277	3070
83	282	3081
84	286	3079
85	289	3078
86	292	3070
87	295	3066
88	298	3060
89	302	3054
90	305	3050
91	308	3042
92	311	3038
93	314	3035
94	317	3029
95	321	3024
96	324	3018
97	327	3013
98	331	3013
99	334	3008
100	337	3003
101	340	2998
102	344	2997
103	347	2996
104	351	2992
105	354	2987
106	357	2981
107	360	2980
108	364	2976
109	367	2969
110	370	2963
111	373	2958
112	376	2957
113	380	2957
114	383	2951
115	386	2945
116	389	2943
117	393	2943
118	397	2945
119	401	2944
120	404	2939
121	408	2936
122	412	2938
123	415	2937
124	418	2932
125	421	2926
126	425	2924
127	428	2920
128	431	2914
129	434	2909
130	437	2903
131	441	2906
132	446	2908
133	449	2903
134	452	2902
135	456	2903
136	460	2902
137	464	2900
138	468	2899
139	472	2903
140	476	2905
141	480	2902
142	483	2899
143	487	2896
144	491	2900
145	495	2897
146	499	2898
147	503	2897
148	507	2897
149	510	2895
150	514	2891
151	517	2889
152	521	2889
153	525	2888
154	529	2884
155	532	2879
156	535	2875
157	539	2872
158	542	2867
159	545	2862
160	549	2861
161	552	2858
162	556	2856
163	559	2851
164	562	2846
165	565	2840
166	568	2834
167	571	2832
168	575	2827
169	578	2823
170	581	2818
171	584	2813
172	587	2810
173	591	2807
174	594	2802
175	597	2796
176	600	2791
177	603	2787
178	607	2786
179	611	2783
180	613	2778
181	617	2774
182	621	2773
183	624	2770
184	627	2766
185	631	2761
186	634	2760
187	638	2757
188	641	2752
189	644	2747
190	647	2743
191	651	2740
192	655	2738
193	658	2734
194	661	2729
195	664	2724
196	668	2723
197	671	2718
198	674	2713
199	677	2708
200	680	2703
201	684	2706
202	688	2702
203	691	2697
204	694	2693
205	697	2689
206	701	2686
207	704	2682
208	708	2680
209	711	2676
210	715	2676
211	719	2673
212	722	2668
213	725	2664
214	728	2661
215	732	2658
216	735	2654
217	738	2650
218	741	2645
219	745	2642
220	748	2639
221	751	2635
222	754	2629
223	758	2626
224	762	2626
225	765	2622
226	769	2620
227	772	2616
228	775	2611
229	779	2610
230	782	2606
231	786	2603
232	789	2600
233	793	2596
234	796	2592
235	799	2588
236	802	2584
237	805	2579
238	808	2574
239	812	2572
240	815	2569
241	818	2564
242	821	2559
