iter	RMSE
0	225395.4119
1	215476.4312
2	205975.0701
3	197155.0287
4	188725.6888
5	180786.6287
6	173167.1328
7	165967.7385
8	159197.5546
9	152776.9109
10	146858.9416
11	141063.3473
12	135723.2298
13	130591.0473
14	125852.7313
15	121313.28
16	117094.9951
17	113074.3381
18	109328.0157
19	105741.228
20	102527.1114
21	99454.15554
22	96527.71035
23	93859.52033
24	91307.79215
25	88912.23948
26	86662.23607
27	84570.5113
28	82661.96066
29	80791.61971
30	79088.02763
31	77498.4041
32	76017.8438
33	74596.53288
34	73288.98572
35	72092.22657
36	71013.84901
37	69949.26703
38	68945.27669
39	68063.11521
40	67208.54026
41	66424.5567
42	65733.43687
43	65079.79118
44	64489.11992
45	63935.08832
46	63330.64106
47	62858.81485
48	62368.73113
49	61895.47716
50	61499.79274
51	61102.6607
52	60679.7426
53	60328.2217
54	60039.1639
55	59768.96574
56	59530.69227
57	59271.62395
58	59002.68985
59	58800.27928
60	58565.01564
61	58370.34944
62	58160.47834
63	57950.78415
64	57769.59675
65	57575.80945
66	57422.1618
67	57289.08749
68	57145.45792
69	56889.58204
70	56737.99086
71	56567.91876
72	56429.6537
73	56335.93857
74	56250.9616
75	56092.33786
76	55990.09918
77	55853.66702
78	55682.01733
79	55610.70022
80	55427.72678
81	55283.40827
82	55179.31978
83	55088.6567
84	54931.32997
85	54759.27095
86	54622.98214
87	54536.49769
88	54461.43594
89	54323.491
90	54248.58815
91	54187.67075
92	54106.50908
93	54031.42885
94	53956.25297
95	53888.6535
96	53819.3732
97	53711.98357
98	53610.27252
99	53565.10244
100	53524.49212
101	53467.02879
102	53437.83126
103	53401.46799
104	53345.0805
105	53314.00562
106	53267.60372
107	53240.75112
108	53192.66164
109	53065.58326
110	53021.5811
111	52994.58586
112	52968.82078
113	52905.43954
114	52858.70001
115	52836.8863
116	52802.25608
117	52779.60685
118	52763.88112
119	52696.60798
120	52641.77875
121	52555.38429
122	52449.7959
123	52424.72916
124	52372.83784
125	52329.61847
126	52213.23917
127	52190.37083
128	52179.02267
129	52178.57843
130	52096.7035
131	52087.64237
132	52067.55475
133	51962.91833
134	51936.37244
135	51901.77152
136	51897.10636
137	51868.27091
138	51848.90976
139	51846.41102
140	51810.28221
