iter	Passed	Remaining
0	16	33888
1	35	35769
2	52	34918
3	71	35774
4	92	36933
5	117	39181
6	137	39142
7	155	38598
8	173	38276
9	190	37822
10	209	37879
11	226	37602
12	244	37437
13	260	36884
14	276	36546
15	291	36172
16	308	36043
17	326	35953
18	342	35712
19	358	35450
20	378	35656
21	398	35800
22	413	35537
23	429	35395
24	443	35065
25	457	34710
26	469	34343
27	488	34394
28	508	34571
29	536	35256
30	558	35461
31	579	35656
32	599	35743
33	614	35517
34	630	35375
35	644	35164
36	659	34965
37	674	34805
38	692	34835
39	709	34759
40	723	34590
41	738	34420
42	755	34398
43	770	34258
44	788	34244
45	802	34071
46	816	33916
47	834	33919
48	849	33822
49	865	33746
50	882	33734
51	902	33805
52	916	33675
53	932	33602
54	948	33525
55	962	33399
56	978	33344
57	993	33272
58	1009	33203
59	1026	33203
60	1042	33152
61	1057	33066
62	1074	33022
63	1102	33343
64	1116	33229
65	1130	33113
66	1144	33029
67	1160	32959
68	1174	32869
69	1189	32802
70	1204	32722
71	1219	32642
72	1234	32591
73	1250	32550
74	1265	32484
75	1285	32550
76	1301	32493
77	1314	32390
78	1329	32332
79	1344	32274
80	1357	32164
81	1371	32086
82	1385	32010
83	1408	32118
84	1424	32097
85	1439	32029
86	1453	31952
87	1467	31895
88	1483	31847
89	1497	31786
90	1513	31740
91	1531	31758
92	1548	31747
93	1565	31738
94	1583	31762
95	1600	31749
96	1615	31692
97	1629	31629
98	1644	31572
99	1658	31519
100	1674	31489
101	1688	31418
102	1702	31358
103	1717	31313
104	1733	31282
105	1750	31272
106	1770	31314
107	1785	31286
108	1801	31255
109	1819	31258
110	1835	31229
111	1850	31193
112	1867	31181
113	1887	31230
114	1902	31180
115	1924	31251
116	1947	31340
117	1963	31311
118	1980	31311
119	1995	31266
120	2012	31246
121	2045	31494
122	2066	31535
123	2085	31556
124	2101	31529
125	2117	31497
126	2133	31461
127	2151	31464
128	2176	31564
129	2189	31498
130	2207	31494
131	2221	31442
132	2237	31402
133	2256	31424
134	2275	31436
135	2291	31412
136	2309	31400
137	2329	31427
138	2344	31390
139	2370	31490
140	2396	31592
141	2414	31589
142	2427	31525
143	2444	31501
144	2456	31424
145	2470	31374
146	2481	31284
147	2508	31387
148	2518	31292
149	2537	31292
150	2551	31242
151	2571	31258
152	2585	31214
153	2615	31346
154	2629	31302
155	2640	31210
156	2657	31198
157	2674	31183
158	2685	31100
159	2694	30991
160	2711	30967
161	2722	30891
162	2731	30783
163	2747	30758
164	2778	30898
165	2789	30822
166	2800	30741
167	2809	30638
168	2819	30545
169	2828	30452
